,DATA_YEAR_x,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID,DATA_YEAR_y,ARRESTEE_ID,ARRESTEE_SEQ_NUM,ARREST_DATE,ARREST_TYPE_ID,MULTIPLE_INDICATOR,OFFENSE_TYPE_ID,AGE_ID,AGE_NUM,SEX_CODE,RACE_ID,ETHNICITY_ID,RESIDENT_CODE,UNDER_18_DISPOSITION_CODE,CLEARANCE_IND,AGE_RANGE_LOW_NUM,AGE_RANGE_HIGH_NUM,OFFENSE_CODE,OFFENSE_NAME,CRIME_AGAINST,CT_FLAG,HC_FLAG,HC_CODE,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,VIOLENT_CRIME
634,2019,5659,113384367,8166013,,15-AUG-19,14-APR-19,,15,6,,0,C,F,50396037,2019,34056035,1,14-APR-19,1,N,51,5,31,F,1,2,R,,,31,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
635,2019,5659,113384374,8166013,,15-AUG-19,14-APR-19,,20,6,,0,C,F,50396044,2019,34056038,1,14-APR-19,1,N,51,5,59,M,1,2,R,,,59,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
636,2019,5659,113384421,8166013,,15-AUG-19,16-APR-19,,8,6,,0,C,F,50396100,2019,34056048,1,25-APR-19,3,N,51,5,24,M,1,2,R,,,24,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
637,2019,5659,113384424,8166013,,15-AUG-19,16-APR-19,,8,6,,0,C,F,50396105,2019,34056049,1,16-APR-19,1,N,51,5,17,F,1,2,R,R,,17,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
638,2019,5659,113384425,8166013,,15-AUG-19,16-APR-19,,10,6,,0,C,F,50396106,2019,34056050,1,16-APR-19,1,N,51,5,47,F,1,2,R,,,47,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
639,2019,5659,113384427,8166013,,15-AUG-19,16-APR-19,,11,6,,0,C,F,50396108,2019,34056051,1,16-APR-19,1,N,51,5,13,M,2,2,R,R,,13,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
640,2019,5659,113384436,8166013,,15-AUG-19,16-APR-19,,14,6,,0,C,F,50396120,2019,34056053,1,16-APR-19,1,N,51,5,10,M,2,2,R,R,,10,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
641,2019,5659,113384441,8166013,,15-AUG-19,16-APR-19,,17,6,,0,C,F,50396126,2019,34056055,1,16-APR-19,1,N,51,5,56,M,1,2,R,,,56,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
642,2019,5659,113384454,8166013,,15-AUG-19,16-APR-19,,23,6,,0,C,F,50396144,2019,34056061,1,17-APR-19,1,N,51,5,31,F,1,2,R,,,31,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
643,2019,5659,118011528,8196661,,21-NOV-19,16-AUG-19,,0,6,,0,C,F,60688942,2019,35963590,1,02-SEP-19,3,N,51,5,61,M,2,2,R,,,61,0,13B,Simple Assault,Person,N,Y,9.0,Assault Offenses,A,Y
